trip_id,datetime,hour,day_of_week,month,is_weekend,is_night,is_rush_hour,distance_km,pickup_neighborhood,dropoff_neighborhood,weather,weather_encoded,driver_supply_ratio,event_demand_multiplier,active_drivers,pending_requests,price_usd,demand_supply_ratio
TR00000,2023-11-24 03:01:00,3,4,11,0,1,0,5.25,Wynwood,Brickell,stormy,3,0.58,1.0,46,91,30.34,1.94
TR00001,2023-10-07 02:37:00,2,5,10,1,1,0,1.67,Coral Gables,Coral Gables,stormy,3,0.86,1.5,68,69,50.62,1.0
TR00002,2023-11-05 00:35:00,0,6,11,1,1,0,4.4,Aventura,Midtown,sunny,0,0.64,1.0,51,33,36.14,0.63
TR00003,2023-08-18 18:17:00,18,4,8,0,0,1,6.37,South Beach,Wynwood,cloudy,1,0.23,1.0,18,94,36.8,4.95
TR00004,2023-08-05 10:17:00,10,5,8,1,0,0,8.98,Wynwood,Coral Gables,sunny,0,0.73,1.0,58,102,32.24,1.73
TR00005,2023-06-22 03:05:00,3,3,6,0,1,0,1.78,Midtown,Brickell,rainy,2,0.84,1.0,67,50,18.78,0.74
TR00006,2023-06-26 19:16:00,19,0,6,0,0,1,7.83,South Beach,Downtown,sunny,0,0.77,1.0,61,73,35.17,1.18
TR00007,2023-03-05 12:05:00,12,6,3,1,0,0,5.44,Doral,Little Havana,sunny,0,0.9,1.0,72,78,24.1,1.07
TR00008,2023-04-09 22:04:00,22,6,4,1,1,0,2.72,Coral Gables,Coconut Grove,rainy,2,0.56,1.6,44,15,54.25,0.33
TR00009,2023-04-30 03:24:00,3,6,4,1,1,0,13.3,Little Havana,Wynwood,sunny,0,0.95,1.0,76,52,33.24,0.68
TR00010,2023-07-01 06:42:00,6,5,7,1,0,0,4.48,Coconut Grove,Brickell,sunny,0,0.62,1.0,49,82,25.32,1.64
TR00011,2023-11-22 05:34:00,5,2,11,0,1,0,12.94,Midtown,Coconut Grove,cloudy,1,0.24,1.0,19,86,32.87,4.3
TR00012,2023-12-19 17:14:00,17,1,12,0,0,1,1.71,Coral Gables,South Beach,sunny,0,0.79,1.0,63,108,22.38,1.69
TR00013,2023-06-11 12:17:00,12,6,6,1,0,0,5.73,Brickell,Coral Gables,cloudy,1,0.8,1.0,64,77,27.76,1.18
