lat,lon,hour,demand,neighborhood
25.7,-80.32,2,0.0,Coral Gables
25.7,-80.315,2,0.0,Coral Gables
25.7,-80.31,2,0.0,Coral Gables
25.7,-80.305,2,0.0,Coral Gables
25.7,-80.3,2,0.022,Coral Gables
25.7,-80.295,2,0.068,Coral Gables
25.7,-80.29,2,0.123,Coral Gables
25.7,-80.285,2,0.156,Coral Gables
25.7,-80.28,2,0.215,Coral Gables
25.7,-80.275,2,0.237,Coral Gables
25.7,-80.27,2,0.266,Coral Gables
25.7,-80.265,2,0.211,Coral Gables
25.7,-80.26,2,0.222,Coral Gables
25.7,-80.255,2,0.18,Coral Gables
25.7,-80.25,2,0.132,Coral Gables
25.7,-80.245,2,0.093,Coral Gables
25.7,-80.24,2,0.162,Coconut Grove
25.7,-80.235,2,0.146,Coconut Grove
25.7,-80.23,2,0.135,Coconut Grove
25.7,-80.225,2,0.101,Coconut Grove
25.7,-80.22,2,0.069,Coconut Grove
25.7,-80.215,2,0.022,Coconut Grove
25.7,-80.21,2,0.0,Coconut Grove
25.7,-80.205,2,0.0,Coconut Grove
25.7,-80.2,2,0.0,Coconut Grove
25.7,-80.195,2,0.0,Coconut Grove
25.7,-80.19,2,0.0,Coconut Grove
25.7,-80.185,2,0.0,Brickell
25.705,-80.325,2,0.0,Coral Gables
25.705,-80.32,2,0.0,Coral Gables
25.705,-80.315,2,0.0,Coral Gables
25.705,-80.31,2,0.0,Coral Gables
25.705,-80.305,2,0.0,Coral Gables
25.705,-80.3,2,0.054,Coral Gables
25.705,-80.295,2,0.128,Coral Gables
25.705,-80.29,2,0.155,Coral Gables
25.705,-80.285,2,0.217,Coral Gables
25.705,-80.28,2,0.258,Coral Gables
25.705,-80.275,2,0.291,Coral Gables
25.705,-80.27,2,0.297,Coral Gables
25.705,-80.265,2,0.301,Coral Gables
25.705,-80.26,2,0.278,Coral Gables
25.705,-80.255,2,0.294,Coral Gables
25.705,-80.25,2,0.185,Coral Gables
25.705,-80.245,2,0.221,Coconut Grove
25.705,-80.24,2,0.275,Coconut Grove
25.705,-80.235,2,0.237,Coconut Grove
25.705,-80.23,2,0.224,Coconut Grove
25.705,-80.225,2,0.179,Coconut Grove
25.705,-80.22,2,0.136,Coconut Grove
25.705,-80.215,2,0.093,Coconut Grove
25.705,-80.21,2,0.028,Coconut Grove
25.705,-80.205,2,0.0,Coconut Grove
25.705,-80.2,2,0.0,Coconut Grove
25.705,-80.195,2,0.0,Coconut Grove
25.705,-80.19,2,0.0,Brickell
25.705,-80.185,2,0.0,Brickell
25.705,-80.18,2,0.0,Brickell
25.705,-80.175,2,0.0,Brickell
25.705,-80.17,2,0.0,Brickell
25.71,-80.325,2,0.0,Coral Gables
25.71,-80.32,2,0.0,Coral Gables
25.71,-80.315,2,0.0,Coral Gables
25.71,-80.31,2,0.0,Coral Gables
25.71,-80.305,2,0.022,Coral Gables
25.71,-80.3,2,0.085,Coral Gables
25.71,-80.295,2,0.157,Coral Gables
25.71,-80.29,2,0.172,Coral Gables
25.71,-80.285,2,0.231,Coral Gables
25.71,-80.28,2,0.269,Coral Gables
25.71,-80.275,2,0.328,Coral Gables
25.71,-80.27,2,0.315,Coral Gables
25.71,-80.265,2,0.304,Coral Gables
25.71,-80.26,2,0.345,Coral Gables
25.71,-80.255,2,0.295,Coral Gables
25.71,-80.25,2,0.222,Coral Gables
25.71,-80.245,2,0.331,Coconut Grove
25.71,-80.24,2,0.345,Coconut Grove
25.71,-80.235,2,0.322,Coconut Grove
25.71,-80.23,2,0.307,Coconut Grove
25.71,-80.225,2,0.273,Coconut Grove
25.71,-80.22,2,0.192,Coconut Grove
25.71,-80.215,2,0.152,Coconut Grove
25.71,-80.21,2,0.083,Coconut Grove
25.71,-80.205,2,0.014,Coconut Grove
25.71,-80.2,2,0.0,Coconut Grove
25.71,-80.195,2,0.0,Coconut Grove
25.71,-80.19,2,0.0,Brickell
25.71,-80.185,2,0.0,Brickell
25.71,-80.18,2,0.0,Brickell
25.71,-80.175,2,0.0,Brickell
25.71,-80.17,2,0.0,Brickell
25.71,-80.165,2,0.0,Brickell
25.71,-80.16,2,0.0,Brickell
25.715,-80.325,2,0.0,Coral Gables
25.715,-80.32,2,0.0,Coral Gables
25.715,-80.315,2,0.0,Coral Gables
25.715,-80.31,2,0.0,Coral Gables
25.715,-80.305,2,0.035,Coral Gables
25.715,-80.3,2,0.098,Coral Gables
25.715,-80.295,2,0.155,Coral Gables
25.715,-80.29,2,0.244,Coral Gables
25.715,-80.285,2,0.261,Coral Gables
25.715,-80.28,2,0.382,Coral Gables
25.715,-80.275,2,0.422,Coral Gables
25.715,-80.27,2,0.439,Coral Gables
25.715,-80.265,2,0.39,Coral Gables
25.715,-80.26,2,0.434,Coral Gables
25.715,-80.255,2,0.325,Coral Gables
25.715,-80.25,2,0.289,Coral Gables
25.715,-80.245,2,0.411,Coconut Grove
25.715,-80.24,2,0.408,Coconut Grove
25.715,-80.235,2,0.398,Coconut Grove
25.715,-80.23,2,0.405,Coconut Grove
25.715,-80.225,2,0.318,Coconut Grove
25.715,-80.22,2,0.247,Coconut Grove
25.715,-80.215,2,0.204,Coconut Grove
25.715,-80.21,2,0.127,Coconut Grove
25.715,-80.205,2,0.056,Coconut Grove
25.715,-80.2,2,0.0,Coconut Grove
25.715,-80.195,2,0.0,Brickell
25.715,-80.19,2,0.0,Brickell
25.715,-80.185,2,0.0,Brickell
25.715,-80.18,2,0.0,Brickell
25.715,-80.175,2,0.0,Brickell
25.715,-80.17,2,0.0,Brickell
25.715,-80.165,2,0.0,Brickell
25.715,-80.16,2,0.0,Brickell
25.715,-80.155,2,0.0,Brickell
25.72,-80.325,2,0.0,Coral Gables
25.72,-80.32,2,0.0,Coral Gables
25.72,-80.315,2,0.0,Coral Gables
25.72,-80.31,2,0.0,Coral Gables
25.72,-80.305,2,0.044,Coral Gables
25.72,-80.3,2,0.113,Coral Gables
25.72,-80.295,2,0.168,Coral Gables
25.72,-80.29,2,0.234,Coral Gables
25.72,-80.285,2,0.266,Coral Gables
