trip_id,datetime,hour,day_of_week,month,is_weekend,pickup_neighborhood,dropoff_neighborhood,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,demand_score,trip_count
GEO00000,2023-11-24 03:01:00,3,4,11,0,Brickell,Coconut Grove,25.767674,-80.182568,25.716365,-80.234379,0.285,1
GEO00001,2023-10-07 02:37:00,2,5,10,1,Coral Gables,Doral,25.726817,-80.266072,25.814416,-80.363772,0.457,1
GEO00002,2023-09-16 19:01:00,19,5,9,1,Doral,Downtown,25.825784,-80.334352,25.776276,-80.188506,0.603,1
GEO00003,2023-08-03 07:28:00,7,3,8,0,Midtown,Doral,25.812711,-80.198357,25.817026,-80.35295,0.549,1
GEO00004,2023-01-04 05:44:00,5,2,1,0,Downtown,Doral,25.770434,-80.202426,25.818296,-80.363324,0.423,1
GEO00005,2023-06-22 03:05:00,3,3,6,0,Coral Gables,Coconut Grove,25.728673,-80.266343,25.732887,-80.229769,0.359,1
GEO00006,2023-06-26 19:16:00,19,0,6,0,Coral Gables,Little Havana,25.723911,-80.280068,25.763054,-80.230162,0.508,1
GEO00007,2023-10-02 03:59:00,3,0,10,0,Midtown,Midtown,25.80224,-80.198101,25.813093,-80.198207,0.419,1
GEO00008,2023-11-13 11:36:00,11,0,11,0,Brickell,Midtown,25.762118,-80.197288,25.812482,-80.195644,0.331,1
GEO00009,2023-02-10 07:55:00,7,4,2,0,Coral Gables,Wynwood,25.731026,-80.270684,25.805913,-80.195301,0.629,1
GEO00010,2023-11-22 11:10:00,11,2,11,0,Downtown,South Beach,25.778352,-80.180558,25.781206,-80.124813,0.381,1
GEO00011,2023-11-08 20:10:00,20,2,11,0,Aventura,South Beach,25.956175,-80.139483,25.792072,-80.12563,0.333,1
GEO00012,2023-05-19 20:44:00,20,4,5,0,Coral Gables,Little Havana,25.726541,-80.254297,25.767701,-80.233606,0.403,1
GEO00013,2023-04-28 01:51:00,1,4,4,0,Coconut Grove,Coral Gables,25.736231,-80.230015,25.729406,-80.266542,0.549,1
