driver_id,customer_id,compatibility,explicit_rating,trip_type,completed
DRV0011,CST0170,0.835,4,errand,1
DRV0163,CST0108,0.726,4,nightlife,1
DRV0176,CST0144,0.585,3,errand,1
DRV0078,CST0153,0.87,5,long_distance,1
DRV0196,CST0003,0.885,4,nightlife,1
DRV0087,CST0202,0.811,4,wedding,1
DRV0007,CST0426,0.78,4,airport,1
DRV0086,CST0472,0.708,4,wedding,1
DRV0121,CST0408,1.0,4,nightlife,1
DRV0123,CST0079,0.784,4,wedding,1
DRV0137,CST0458,0.679,4,errand,1
DRV0105,CST0475,0.587,3,wedding,1
DRV0133,CST0153,0.78,4,long_distance,1
DRV0080,CST0284,0.527,3,long_distance,1
DRV0147,CST0350,0.63,3,errand,1
DRV0090,CST0033,0.731,4,airport,1
DRV0007,CST0173,0.442,3,event,1
DRV0042,CST0292,0.546,3,long_distance,1
DRV0152,CST0059,1.0,5,errand,1
DRV0080,CST0363,0.528,3,nightlife,1
DRV0022,CST0254,0.798,4,airport,1
DRV0077,CST0110,0.469,3,long_distance,1
DRV0028,CST0191,0.762,4,nightlife,1
DRV0023,CST0227,0.672,4,long_distance,1
DRV0123,CST0463,0.767,4,long_distance,1
DRV0087,CST0472,0.591,3,event,1
DRV0134,CST0158,0.927,5,errand,1
DRV0025,CST0420,0.977,5,long_distance,1
DRV0033,CST0105,0.972,5,wedding,1
DRV0099,CST0365,0.805,4,long_distance,1
DRV0079,CST0477,0.714,4,nightlife,1
DRV0152,CST0446,0.809,4,nightlife,1
DRV0011,CST0052,0.75,4,long_distance,1
DRV0190,CST0159,0.73,5,nightlife,1
DRV0079,CST0327,0.814,5,airport,1
DRV0049,CST0146,0.696,4,errand,1
DRV0197,CST0225,0.617,3,wedding,1
DRV0038,CST0080,0.625,4,errand,1
DRV0159,CST0286,0.721,4,long_distance,1
DRV0138,CST0179,1.0,5,long_distance,1
DRV0036,CST0482,0.91,5,wedding,1
DRV0146,CST0125,0.557,3,airport,1
DRV0156,CST0456,0.644,3,errand,1
DRV0012,CST0066,0.88,4,nightlife,1
DRV0172,CST0025,0.571,3,nightlife,1
DRV0022,CST0218,0.668,4,event,1
DRV0152,CST0456,0.701,4,long_distance,1
DRV0176,CST0358,0.919,5,event,1
DRV0079,CST0170,0.744,4,airport,1
DRV0171,CST0414,0.835,4,long_distance,1
DRV0193,CST0391,0.792,4,event,1
DRV0023,CST0416,0.649,4,wedding,1
DRV0116,CST0158,0.643,4,wedding,1
DRV0196,CST0238,0.729,4,event,1
DRV0057,CST0073,0.76,4,long_distance,1
DRV0093,CST0200,0.894,5,airport,1
DRV0170,CST0169,0.759,4,errand,1
DRV0007,CST0033,0.87,5,event,1
DRV0122,CST0236,0.677,4,airport,1
DRV0089,CST0309,0.631,4,long_distance,1
DRV0026,CST0207,0.652,4,wedding,1
DRV0083,CST0284,0.709,4,wedding,1
DRV0077,CST0272,0.389,2,event,1
DRV0105,CST0122,0.685,4,long_distance,1
DRV0040,CST0498,0.53,3,event,1
DRV0087,CST0106,0.702,4,wedding,1
DRV0111,CST0290,0.691,4,errand,1
DRV0060,CST0088,0.66,4,wedding,1
DRV0189,CST0476,0.641,4,wedding,1
DRV0124,CST0058,0.724,4,long_distance,1
DRV0083,CST0284,0.593,3,nightlife,1
DRV0045,CST0157,0.511,3,event,1
DRV0027,CST0350,0.576,3,long_distance,1
DRV0097,CST0167,0.546,3,event,1
DRV0015,CST0046,0.85,4,airport,1
DRV0148,CST0462,0.856,5,wedding,1
DRV0193,CST0075,0.57,3,wedding,1
DRV0136,CST0149,0.61,4,event,1
DRV0114,CST0100,0.88,5,airport,1
DRV0081,CST0153,0.924,5,long_distance,1
DRV0173,CST0155,0.575,3,event,1
DRV0088,CST0045,0.606,3,long_distance,1
DRV0130,CST0206,0.664,4,airport,1
DRV0015,CST0189,0.887,4,long_distance,0
DRV0000,CST0360,0.616,3,long_distance,1
DRV0091,CST0056,0.604,4,errand,1
DRV0060,CST0221,0.645,4,wedding,1
DRV0160,CST0162,0.921,5,wedding,1
DRV0097,CST0222,0.413,3,long_distance,1
DRV0044,CST0243,0.57,3,airport,1
DRV0098,CST0431,0.534,3,errand,1
DRV0039,CST0147,0.709,4,wedding,1
DRV0002,CST0036,0.71,4,wedding,1
DRV0184,CST0453,0.802,4,event,1
DRV0034,CST0043,0.752,4,airport,1
DRV0106,CST0440,0.644,3,event,1
DRV0178,CST0309,0.708,4,event,1
DRV0116,CST0260,0.556,3,event,1
DRV0115,CST0196,0.612,3,errand,1
DRV0108,CST0309,1.0,5,nightlife,1
DRV0187,CST0121,0.746,4,wedding,1
DRV0105,CST0474,0.557,3,long_distance,1
DRV0008,CST0019,0.484,3,long_distance,1
DRV0094,CST0057,0.515,3,long_distance,1
DRV0176,CST0040,0.734,3,airport,1
DRV0134,CST0439,0.718,4,errand,1
DRV0020,CST0267,0.966,5,long_distance,1
DRV0120,CST0322,0.563,4,wedding,1
DRV0171,CST0039,0.673,4,wedding,1
DRV0148,CST0159,0.733,3,long_distance,1
DRV0087,CST0273,0.55,3,nightlife,1
DRV0131,CST0463,0.599,3,event,1
DRV0084,CST0215,0.892,5,errand,0
DRV0075,CST0148,0.549,3,airport,1
DRV0152,CST0383,0.93,5,errand,1
DRV0144,CST0133,0.708,4,nightlife,1
DRV0148,CST0086,0.606,3,long_distance,1
DRV0074,CST0414,0.651,4,wedding,1
DRV0073,CST0248,0.879,5,nightlife,1
DRV0019,CST0435,0.545,4,errand,1
DRV0157,CST0143,0.64,4,errand,1
DRV0003,CST0379,0.814,4,nightlife,1
DRV0151,CST0378,0.79,4,airport,1
DRV0094,CST0413,0.458,3,airport,1
DRV0179,CST0120,0.809,4,event,1
DRV0135,CST0441,0.481,3,nightlife,1
DRV0021,CST0495,0.627,3,airport,1
DRV0039,CST0428,1.0,5,event,1
DRV0105,CST0394,0.74,4,event,1
DRV0112,CST0371,0.961,5,wedding,1
DRV0147,CST0375,0.54,3,errand,1
DRV0067,CST0386,0.64,3,nightlife,1
DRV0118,CST0204,0.611,3,event,1
DRV0191,CST0485,0.778,4,long_distance,1
DRV0174,CST0361,0.714,4,event,1
DRV0037,CST0271,0.876,4,event,1
DRV0114,CST0195,0.64,3,wedding,1
DRV0135,CST0349,0.467,3,nightlife,1
DRV0136,CST0326,0.844,4,errand,0
DRV0110,CST0312,0.423,3,wedding,1
DRV0085,CST0138,0.868,4,errand,1
DRV0065,CST0335,0.63,4,long_distance,1
DRV0197,CST0345,0.987,5,wedding,1
DRV0172,CST0301,0.64,4,airport,1
DRV0173,CST0353,0.7,4,airport,1
DRV0002,CST0344,0.65,4,nightlife,1
DRV0003,CST0210,0.639,4,nightlife,1
DRV0175,CST0228,0.642,3,errand,1
DRV0072,CST0128,0.537,3,airport,1
DRV0158,CST0047,0.829,4,nightlife,0
DRV0168,CST0457,0.774,4,airport,0
DRV0163,CST0062,0.736,4,wedding,0
DRV0022,CST0438,0.931,5,long_distance,1
DRV0168,CST0391,1.0,5,wedding,1
DRV0047,CST0458,0.615,3,nightlife,1
DRV0064,CST0150,0.871,5,event,1
DRV0019,CST0327,0.72,4,event,1
DRV0070,CST0393,0.487,3,event,1
DRV0170,CST0394,0.842,5,errand,1
DRV0199,CST0037,0.671,4,errand,1
DRV0097,CST0198,0.544,3,errand,0
DRV0066,CST0489,0.541,3,errand,1
DRV0017,CST0251,0.982,5,airport,1
DRV0045,CST0330,0.547,3,event,1
DRV0138,CST0393,0.827,4,event,1
DRV0164,CST0054,0.589,4,event,1
DRV0026,CST0017,0.798,4,nightlife,1
DRV0186,CST0128,0.628,3,event,1
DRV0127,CST0076,0.763,4,wedding,1
DRV0009,CST0340,0.55,2,event,1
DRV0179,CST0168,0.817,4,event,1
DRV0131,CST0362,0.641,4,event,1
DRV0103,CST0432,0.766,4,wedding,1
DRV0017,CST0276,0.791,4,airport,1
DRV0176,CST0418,0.781,4,event,1
DRV0137,CST0478,0.722,3,errand,1
DRV0077,CST0205,0.576,3,nightlife,1
DRV0165,CST0046,0.936,5,errand,1
DRV0087,CST0041,0.424,3,event,1
DRV0074,CST0331,0.76,4,airport,1
DRV0010,CST0495,0.946,5,event,1
DRV0076,CST0356,0.747,4,event,1
DRV0161,CST0352,1.0,5,errand,1
DRV0161,CST0224,0.71,5,wedding,1
DRV0009,CST0098,0.55,3,nightlife,1
DRV0151,CST0122,0.866,5,event,1
DRV0138,CST0329,0.738,4,errand,1
DRV0115,CST0494,0.733,4,nightlife,1
DRV0014,CST0172,0.71,3,wedding,1
DRV0030,CST0108,0.57,3,wedding,1
DRV0117,CST0481,1.0,5,wedding,1
DRV0137,CST0076,0.656,4,wedding,1
DRV0018,CST0018,0.715,4,wedding,1
DRV0167,CST0009,0.856,4,event,1
DRV0158,CST0023,0.828,5,airport,1
DRV0033,CST0007,0.624,4,airport,1
DRV0078,CST0420,0.74,4,nightlife,1
DRV0043,CST0427,0.635,4,long_distance,1
DRV0027,CST0058,0.618,4,event,1
DRV0157,CST0112,0.705,4,nightlife,1
DRV0109,CST0172,0.876,4,wedding,1
DRV0083,CST0061,0.631,3,wedding,1
DRV0035,CST0164,0.679,4,airport,1
DRV0151,CST0088,0.599,3,errand,1
DRV0070,CST0072,0.369,3,event,1
DRV0094,CST0283,0.676,4,airport,1
DRV0148,CST0020,0.76,4,airport,1
DRV0161,CST0313,0.571,3,event,1
DRV0004,CST0450,0.703,4,event,1
DRV0001,CST0091,0.813,3,nightlife,1
DRV0151,CST0454,0.807,5,errand,1
DRV0197,CST0243,0.775,4,wedding,1
DRV0036,CST0327,0.631,4,errand,1
DRV0105,CST0122,0.675,3,airport,1
DRV0009,CST0305,0.673,4,airport,1
DRV0156,CST0486,0.603,4,nightlife,1
DRV0077,CST0178,0.604,3,event,1
DRV0060,CST0098,0.687,4,nightlife,0
DRV0024,CST0316,0.712,4,errand,1
DRV0138,CST0259,0.72,4,airport,1
DRV0160,CST0337,0.801,4,airport,1
DRV0049,CST0057,0.47,3,airport,1
DRV0121,CST0254,0.892,5,airport,1
DRV0011,CST0027,0.478,2,wedding,1
DRV0053,CST0222,0.425,3,errand,1
DRV0194,CST0232,0.661,4,nightlife,1
DRV0013,CST0473,0.693,3,long_distance,1
DRV0007,CST0248,0.812,4,long_distance,1
DRV0060,CST0369,0.703,4,event,1
DRV0083,CST0214,0.647,4,airport,1
DRV0083,CST0117,0.59,3,nightlife,1
DRV0025,CST0121,0.701,4,wedding,1
DRV0051,CST0192,0.607,4,airport,1
DRV0149,CST0248,0.617,4,nightlife,1
DRV0037,CST0110,0.683,3,long_distance,1
DRV0099,CST0191,0.61,4,airport,1
DRV0049,CST0323,0.756,4,errand,0
DRV0051,CST0171,0.538,4,airport,1
DRV0145,CST0030,0.913,4,errand,1
DRV0119,CST0234,0.639,4,event,1
DRV0087,CST0112,0.689,4,errand,1
DRV0163,CST0487,0.582,3,long_distance,1
DRV0147,CST0496,0.572,4,long_distance,1
DRV0022,CST0210,0.626,3,long_distance,1
DRV0055,CST0302,0.918,5,event,1
DRV0071,CST0007,0.771,4,wedding,1
DRV0063,CST0126,1.0,5,errand,1
DRV0056,CST0456,0.624,3,long_distance,0
DRV0146,CST0459,0.7,3,nightlife,1
DRV0011,CST0020,0.888,5,event,1
DRV0129,CST0017,0.772,4,event,1
DRV0122,CST0414,0.921,5,wedding,1
DRV0115,CST0253,0.859,5,airport,1
DRV0192,CST0006,0.852,4,wedding,1
DRV0055,CST0067,0.677,4,errand,1
DRV0165,CST0046,0.916,5,nightlife,1
DRV0078,CST0082,0.815,4,wedding,1
DRV0146,CST0382,0.554,3,long_distance,1
DRV0116,CST0237,0.674,3,airport,1
DRV0103,CST0094,0.647,3,errand,1
DRV0180,CST0324,0.525,3,nightlife,1
DRV0018,CST0197,1.0,4,wedding,1
DRV0008,CST0151,0.605,3,event,1
DRV0178,CST0484,0.796,4,long_distance,1
DRV0053,CST0403,0.614,3,wedding,1
DRV0085,CST0376,0.796,4,nightlife,1
DRV0172,CST0186,0.67,4,nightlife,1
DRV0093,CST0238,0.856,4,long_distance,1
DRV0093,CST0089,0.715,3,wedding,1
DRV0017,CST0287,0.979,5,wedding,1
DRV0035,CST0171,0.937,5,airport,1
DRV0166,CST0244,0.579,3,wedding,0
DRV0148,CST0446,0.758,4,wedding,1
DRV0190,CST0389,0.734,4,airport,1
DRV0068,CST0257,0.746,4,wedding,1
DRV0013,CST0032,0.856,4,errand,1
DRV0124,CST0256,0.628,4,long_distance,1
DRV0120,CST0363,0.92,4,long_distance,1
DRV0136,CST0460,0.913,4,errand,1
DRV0094,CST0409,0.533,3,wedding,0
DRV0016,CST0096,0.484,3,event,1
DRV0100,CST0459,0.778,4,airport,1
DRV0019,CST0055,0.793,4,airport,1
DRV0178,CST0075,0.581,3,event,1
DRV0052,CST0266,0.728,4,wedding,1
DRV0106,CST0496,0.653,4,wedding,1
DRV0033,CST0242,0.642,3,errand,1
DRV0188,CST0330,0.662,3,nightlife,1
DRV0016,CST0011,0.538,3,airport,1
DRV0133,CST0330,0.433,3,errand,1
DRV0087,CST0335,0.616,3,wedding,1
DRV0124,CST0303,1.0,5,wedding,1
DRV0140,CST0227,0.699,3,event,1
DRV0033,CST0459,0.615,3,errand,1
DRV0066,CST0116,0.541,3,event,1
DRV0073,CST0394,0.965,5,nightlife,1
DRV0072,CST0233,0.557,3,airport,1
DRV0041,CST0364,0.899,4,long_distance,1
DRV0044,CST0429,0.509,3,wedding,1
DRV0170,CST0406,0.823,4,airport,1
DRV0029,CST0021,0.595,3,errand,1
DRV0112,CST0133,0.808,4,errand,1
DRV0143,CST0362,0.666,3,nightlife,1
DRV0088,CST0075,0.598,3,errand,1
DRV0041,CST0273,0.811,4,errand,1
DRV0006,CST0207,0.638,4,event,1
DRV0117,CST0475,0.677,4,errand,1
DRV0189,CST0279,0.776,5,long_distance,1
DRV0180,CST0151,0.581,4,event,1
DRV0193,CST0293,0.654,4,wedding,1
DRV0144,CST0373,0.615,3,event,1
DRV0028,CST0374,0.86,4,event,1
DRV0035,CST0347,0.631,4,long_distance,1
DRV0006,CST0205,0.702,4,long_distance,1
DRV0114,CST0182,0.825,4,nightlife,1
DRV0155,CST0328,0.682,4,airport,1
DRV0056,CST0400,0.839,4,errand,1
DRV0021,CST0275,0.405,3,event,1
DRV0022,CST0499,0.928,5,long_distance,1
DRV0125,CST0162,0.468,3,long_distance,1
DRV0014,CST0465,0.964,5,wedding,1
DRV0037,CST0366,0.764,4,event,1
DRV0095,CST0006,0.764,4,errand,1
DRV0078,CST0228,0.621,4,long_distance,1
DRV0186,CST0454,0.679,4,event,1
DRV0106,CST0411,0.542,3,event,1
DRV0186,CST0496,0.622,4,event,1
DRV0106,CST0071,0.549,4,long_distance,1
DRV0036,CST0106,0.919,4,errand,1
DRV0134,CST0171,0.712,4,nightlife,0
DRV0151,CST0387,0.856,5,event,1
DRV0104,CST0327,0.787,4,errand,1
DRV0142,CST0236,0.511,3,wedding,1
DRV0035,CST0102,0.785,4,airport,1
DRV0074,CST0283,0.629,4,event,1
DRV0077,CST0427,0.602,3,long_distance,1
DRV0143,CST0378,0.95,4,event,1
DRV0000,CST0078,0.567,3,errand,1
DRV0163,CST0427,0.846,4,wedding,1
DRV0167,CST0340,0.905,4,errand,1
DRV0125,CST0464,0.667,3,wedding,1
DRV0007,CST0061,0.821,4,errand,1
DRV0017,CST0306,0.831,4,wedding,1
DRV0123,CST0289,0.563,3,event,1
DRV0160,CST0351,0.945,5,event,0
DRV0030,CST0191,0.653,3,long_distance,1
DRV0004,CST0432,0.657,4,errand,1
DRV0014,CST0074,0.732,3,errand,1
DRV0177,CST0069,0.495,3,errand,1
DRV0069,CST0184,0.705,4,event,1
DRV0091,CST0024,0.589,3,errand,1
DRV0163,CST0479,0.679,4,nightlife,1
DRV0196,CST0321,0.888,4,airport,1
DRV0153,CST0385,0.886,4,airport,1
DRV0080,CST0423,0.819,4,wedding,1
DRV0069,CST0350,0.617,4,wedding,1
DRV0024,CST0273,0.521,4,long_distance,1
DRV0036,CST0006,0.702,3,airport,1
DRV0095,CST0398,0.679,4,event,1
DRV0041,CST0052,0.752,4,airport,1
DRV0056,CST0425,0.561,3,airport,1
DRV0143,CST0314,0.67,4,wedding,1
DRV0134,CST0433,0.568,3,long_distance,1
DRV0179,CST0387,0.851,5,nightlife,1
DRV0019,CST0059,0.863,5,airport,1
DRV0122,CST0178,0.598,4,errand,1
DRV0035,CST0418,0.812,3,event,1
DRV0152,CST0267,0.911,5,errand,1
DRV0077,CST0014,0.569,3,wedding,1
DRV0056,CST0065,0.695,3,wedding,1
DRV0058,CST0157,0.534,3,airport,1
DRV0020,CST0217,0.621,3,wedding,1
DRV0028,CST0039,0.834,4,nightlife,1
DRV0193,CST0220,0.867,4,nightlife,1
DRV0008,CST0406,0.679,3,wedding,1
DRV0015,CST0240,0.858,4,nightlife,1
DRV0011,CST0033,0.766,4,errand,1
DRV0193,CST0049,0.791,4,nightlife,1
DRV0052,CST0300,0.641,3,airport,1
DRV0089,CST0014,0.675,4,nightlife,1
DRV0191,CST0482,0.722,4,errand,0
DRV0089,CST0180,0.593,3,airport,1
DRV0199,CST0373,0.719,3,long_distance,1
DRV0145,CST0034,0.878,5,nightlife,1
DRV0195,CST0007,0.937,4,long_distance,1
DRV0049,CST0493,0.849,5,errand,1
DRV0193,CST0275,0.593,4,nightlife,0
DRV0025,CST0473,0.938,4,airport,1
DRV0181,CST0243,0.62,4,errand,1
DRV0047,CST0225,0.594,4,wedding,0
DRV0046,CST0427,0.634,3,errand,0
DRV0108,CST0109,0.64,4,long_distance,1
DRV0028,CST0389,0.635,4,errand,1
DRV0028,CST0266,0.697,4,airport,1
DRV0092,CST0360,0.904,5,errand,1
DRV0010,CST0042,0.633,4,errand,1
DRV0098,CST0145,0.644,4,event,1
DRV0079,CST0351,0.536,3,event,1
DRV0104,CST0148,0.597,3,event,1
DRV0017,CST0458,1.0,5,event,0
DRV0094,CST0091,0.66,3,nightlife,0
DRV0125,CST0344,0.682,4,nightlife,1
DRV0133,CST0337,0.836,4,wedding,1
DRV0036,CST0202,0.691,4,event,1
DRV0026,CST0379,0.685,4,airport,1
DRV0050,CST0173,0.574,3,airport,1
DRV0103,CST0062,0.584,4,airport,1
DRV0185,CST0255,0.8,4,errand,1
DRV0196,CST0297,0.799,4,long_distance,1
DRV0164,CST0482,0.579,3,event,1
DRV0170,CST0308,0.733,4,event,0
DRV0130,CST0142,0.608,4,airport,1
DRV0027,CST0062,0.567,3,errand,1
DRV0059,CST0321,0.84,4,airport,1
DRV0188,CST0027,0.519,3,nightlife,1
DRV0006,CST0497,0.86,4,airport,1
DRV0173,CST0167,0.795,4,airport,1
DRV0159,CST0049,0.626,3,nightlife,1
DRV0133,CST0392,0.591,4,event,1
DRV0051,CST0150,0.634,3,wedding,1
DRV0129,CST0133,0.715,4,long_distance,1
DRV0138,CST0279,0.85,5,nightlife,0
DRV0008,CST0220,0.599,4,nightlife,1
DRV0080,CST0436,0.724,4,event,1
DRV0009,CST0016,0.961,5,airport,1
DRV0199,CST0155,0.606,4,wedding,1
DRV0110,CST0068,0.953,5,errand,1
DRV0124,CST0391,0.755,4,nightlife,1
DRV0125,CST0337,0.568,3,long_distance,1
DRV0146,CST0240,0.858,4,event,1
DRV0040,CST0259,0.428,3,nightlife,1
DRV0126,CST0302,0.613,3,event,1
DRV0090,CST0392,0.919,4,errand,1
DRV0007,CST0302,0.537,3,nightlife,1
DRV0093,CST0178,0.696,3,wedding,1
DRV0195,CST0456,0.687,4,wedding,1
DRV0024,CST0219,0.939,5,errand,0
DRV0105,CST0179,0.659,4,nightlife,1
DRV0063,CST0120,0.857,4,wedding,1
DRV0021,CST0466,0.856,5,wedding,1
DRV0078,CST0058,0.755,4,errand,1
DRV0137,CST0166,0.673,4,nightlife,1
DRV0108,CST0290,0.815,5,long_distance,1
DRV0068,CST0010,1.0,5,wedding,1
DRV0005,CST0162,0.718,4,event,1
DRV0082,CST0293,0.655,4,nightlife,1
DRV0025,CST0353,1.0,5,wedding,1
DRV0127,CST0257,0.569,4,wedding,1
DRV0157,CST0153,0.61,3,errand,0
DRV0051,CST0254,0.638,4,wedding,1
DRV0019,CST0430,0.515,3,long_distance,1
DRV0067,CST0024,0.703,3,errand,0
DRV0102,CST0411,0.726,4,airport,1
DRV0023,CST0367,0.86,4,long_distance,1
DRV0086,CST0139,0.654,3,nightlife,1
DRV0135,CST0243,0.443,3,event,1
DRV0019,CST0333,0.819,4,errand,1
DRV0076,CST0221,1.0,5,wedding,1
DRV0051,CST0212,0.795,4,event,1
DRV0131,CST0232,0.698,3,wedding,1
DRV0046,CST0451,0.761,4,nightlife,1
DRV0132,CST0441,0.97,5,airport,1
DRV0054,CST0338,0.804,4,wedding,0
DRV0068,CST0479,0.627,4,wedding,1
DRV0157,CST0436,0.543,3,event,0
DRV0186,CST0320,0.582,3,nightlife,1
DRV0093,CST0236,0.623,4,airport,1
DRV0191,CST0350,0.807,4,errand,1
DRV0105,CST0163,0.624,4,nightlife,1
DRV0105,CST0136,0.736,4,errand,1
DRV0065,CST0351,0.729,4,long_distance,1
DRV0061,CST0058,0.893,4,airport,1
DRV0062,CST0408,0.745,4,errand,1
DRV0143,CST0223,0.821,4,event,1
DRV0009,CST0103,0.644,3,airport,1
DRV0007,CST0132,0.636,3,errand,1
DRV0045,CST0329,0.669,4,nightlife,0
DRV0124,CST0400,1.0,5,nightlife,1
DRV0021,CST0160,0.952,5,long_distance,1
DRV0016,CST0461,0.865,5,event,1
DRV0171,CST0336,0.54,3,nightlife,1
DRV0185,CST0431,0.715,4,airport,1
DRV0146,CST0376,0.748,4,long_distance,0
DRV0133,CST0340,0.562,3,long_distance,0
DRV0134,CST0128,0.772,4,event,1
DRV0060,CST0307,0.699,4,nightlife,1
DRV0080,CST0168,0.955,5,long_distance,1
DRV0191,CST0380,0.993,5,airport,0
DRV0055,CST0073,0.747,4,nightlife,1
DRV0070,CST0225,0.806,4,event,1
DRV0150,CST0028,0.633,4,event,1
DRV0179,CST0485,0.923,4,nightlife,1
DRV0108,CST0243,0.694,4,wedding,1
DRV0071,CST0450,0.778,4,airport,1
DRV0183,CST0188,0.449,3,errand,1
DRV0155,CST0017,0.941,4,wedding,1
DRV0013,CST0353,0.716,4,wedding,1
DRV0141,CST0196,0.732,3,errand,1
DRV0179,CST0185,0.708,4,wedding,1
DRV0060,CST0439,0.674,4,event,1
DRV0100,CST0474,0.757,4,errand,1
DRV0193,CST0120,0.715,4,errand,1
DRV0041,CST0468,0.649,3,event,1
DRV0196,CST0329,0.686,4,event,1
DRV0070,CST0443,0.545,3,nightlife,1
DRV0125,CST0241,0.643,4,wedding,1
DRV0085,CST0367,0.85,4,event,1
DRV0025,CST0422,0.551,4,airport,1
DRV0129,CST0033,0.655,3,errand,1
DRV0186,CST0416,0.541,4,long_distance,1
DRV0116,CST0355,0.701,4,nightlife,1
DRV0164,CST0328,0.753,4,airport,1
DRV0164,CST0069,0.435,3,nightlife,1
DRV0160,CST0156,0.74,4,errand,1
DRV0028,CST0080,0.599,3,airport,1
DRV0196,CST0425,0.655,4,wedding,1
DRV0152,CST0351,0.541,3,event,1
DRV0081,CST0231,0.964,5,event,1
DRV0034,CST0133,0.575,4,airport,1
DRV0083,CST0409,0.611,3,errand,1
DRV0106,CST0188,0.531,3,airport,1
DRV0096,CST0483,0.771,4,long_distance,1
DRV0005,CST0472,0.73,4,long_distance,1
DRV0160,CST0117,0.631,3,nightlife,0
