trip_id,datetime,date,month,hour,neighborhood,car_type,trip_type,distance_km,fare_usd,driver_rating,completed
T00000,2024-06-12 03:01,2024-06-12,6,3,Coconut Grove,Sedan,airport,1.5,31.09,5,1
T00001,2024-01-27 21:47,2024-01-27,1,21,Aventura,Convertible,nightlife,16.5,23.78,5,1
T00002,2024-01-09 00:05,2024-01-09,1,0,Coral Gables,SUV,airport,5.6,48.12,4,1
T00003,2024-01-07 17:12,2024-01-07,1,17,Aventura,Sedan,event,3.8,37.84,5,1
T00004,2024-05-30 08:51,2024-05-30,5,8,South Beach,SUV,airport,2.0,38.71,5,1
T00005,2024-03-28 08:09,2024-03-28,3,8,Coral Gables,Sedan,errand,5.1,40.62,4,1
T00006,2024-04-07 03:22,2024-04-07,4,3,Little Havana,Sedan,long_distance,9.3,32.83,5,1
T00007,2024-01-12 23:29,2024-01-12,1,23,Aventura,Sedan,nightlife,14.8,56.96,4,0
T00008,2024-04-06 02:35,2024-04-06,4,2,Coconut Grove,SUV,wedding,3.9,58.94,5,1
T00009,2024-04-02 18:12,2024-04-02,4,18,Brickell,Sedan,nightlife,6.6,37.16,5,1
T00010,2024-03-15 02:54,2024-03-15,3,2,Coral Gables,Sedan,nightlife,2.8,47.44,4,1
T00011,2024-04-26 20:53,2024-04-26,4,20,Little Havana,Convertible,airport,7.5,38.13,5,1
T00012,2024-02-23 21:17,2024-02-23,2,21,Brickell,SUV,long_distance,2.1,20.48,5,1
T00013,2024-05-16 23:15,2024-05-16,5,23,Wynwood,SUV,event,7.8,32.59,4,1
T00014,2024-06-12 22:35,2024-06-12,6,22,Coral Gables,Sedan,wedding,6.2,39.0,5,1
T00015,2024-01-15 07:52,2024-01-15,1,7,South Beach,Sedan,errand,27.4,44.45,5,1
T00016,2024-01-17 06:58,2024-01-17,1,6,Doral,Sedan,wedding,6.1,43.98,4,1
T00017,2024-06-16 15:25,2024-06-16,6,15,Downtown,SUV,airport,33.3,41.88,5,1
T00018,2024-03-04 23:35,2024-03-04,3,23,Aventura,Minivan,errand,24.5,33.03,5,1
T00019,2024-04-19 18:25,2024-04-19,4,18,Little Havana,Convertible,airport,12.8,46.87,4,0
T00020,2024-02-05 16:31,2024-02-05,2,16,Brickell,Luxury,nightlife,3.8,25.08,5,1
T00021,2024-02-09 20:10,2024-02-09,2,20,Midtown,Sedan,long_distance,8.2,54.1,4,1
T00022,2024-04-07 19:29,2024-04-07,4,19,Aventura,Sedan,errand,1.6,58.75,5,0
T00023,2024-01-03 21:46,2024-01-03,1,21,Brickell,Sedan,wedding,9.5,37.51,4,1
T00024,2024-03-09 20:21,2024-03-09,3,20,Brickell,Luxury,errand,11.9,26.99,4,1
T00025,2024-04-26 00:46,2024-04-26,4,0,Coconut Grove,Sedan,long_distance,6.7,29.52,4,1
T00026,2024-05-09 03:55,2024-05-09,5,3,Coconut Grove,Sedan,wedding,5.6,44.07,4,1
T00027,2024-02-20 04:23,2024-02-20,2,4,Wynwood,Luxury,long_distance,21.5,20.76,5,0
T00028,2024-05-15 00:38,2024-05-15,5,0,Little Havana,Sedan,event,13.9,47.05,5,1
T00029,2024-04-02 09:15,2024-04-02,4,9,South Beach,Sedan,airport,10.1,21.04,4,1
T00030,2024-01-21 02:46,2024-01-21,1,2,Downtown,Minivan,nightlife,2.4,32.83,4,0
T00031,2024-05-16 04:08,2024-05-16,5,4,Downtown,Sedan,long_distance,1.8,40.39,5,1
T00032,2024-05-15 19:27,2024-05-15,5,19,Coral Gables,Sedan,long_distance,25.5,37.73,4,1
T00033,2024-06-25 06:45,2024-06-25,6,6,Coconut Grove,SUV,event,7.3,63.8,4,0
T00034,2024-06-15 11:28,2024-06-15,6,11,Aventura,Sedan,event,19.5,51.49,5,1
T00035,2024-02-27 02:21,2024-02-27,2,2,South Beach,SUV,long_distance,7.0,35.14,5,1
T00036,2024-05-30 07:00,2024-05-30,5,7,Brickell,Sedan,wedding,4.7,24.09,4,1
T00037,2024-02-28 02:57,2024-02-28,2,2,South Beach,Sedan,errand,2.1,45.33,5,1
T00038,2024-03-01 08:42,2024-03-01,3,8,Downtown,SUV,airport,14.8,48.52,4,1
T00039,2024-05-26 18:30,2024-05-26,5,18,Coral Gables,SUV,event,13.3,51.49,4,1
T00040,2024-02-18 03:06,2024-02-18,2,3,Midtown,Minivan,errand,7.7,45.07,4,1
T00041,2024-04-29 23:03,2024-04-29,4,23,Brickell,Sedan,nightlife,2.6,20.0,5,1
T00042,2024-03-27 03:15,2024-03-27,3,3,Coral Gables,Sedan,airport,30.4,9.3,4,1
T00043,2024-02-05 13:11,2024-02-05,2,13,Coconut Grove,Sedan,event,3.6,27.72,5,1
T00044,2024-01-20 14:51,2024-01-20,1,14,Aventura,Luxury,nightlife,5.9,49.85,4,1
T00045,2024-05-18 00:05,2024-05-18,5,0,Coral Gables,Luxury,airport,15.1,25.62,4,1
T00046,2024-05-03 06:55,2024-05-03,5,6,Midtown,Minivan,nightlife,14.6,26.37,5,1
T00047,2024-01-01 12:16,2024-01-01,1,12,Downtown,SUV,errand,2.2,19.36,5,1
T00048,2024-05-22 21:45,2024-05-22,5,21,Downtown,Sedan,airport,13.6,44.6,5,1
T00049,2024-02-25 01:37,2024-02-25,2,1,Aventura,Sedan,nightlife,4.0,41.26,4,1
T00050,2024-01-15 01:37,2024-01-15,1,1,Downtown,Luxury,long_distance,12.9,49.52,5,1
T00051,2024-05-15 05:03,2024-05-15,5,5,Aventura,SUV,nightlife,5.2,28.53,5,1
T00052,2024-01-18 19:04,2024-01-18,1,19,Coral Gables,SUV,event,21.8,51.95,5,1
T00053,2024-05-25 07:37,2024-05-25,5,7,Doral,Minivan,nightlife,4.1,51.09,4,1
T00054,2024-04-17 21:37,2024-04-17,4,21,Doral,Sedan,long_distance,4.8,46.48,5,1
T00055,2024-03-07 06:42,2024-03-07,3,6,Little Havana,SUV,airport,25.0,51.25,4,1
T00056,2024-02-03 21:41,2024-02-03,2,21,Coconut Grove,Sedan,event,13.8,39.1,4,1
T00057,2024-01-19 00:29,2024-01-19,1,0,Doral,Sedan,long_distance,16.1,57.33,4,0
T00058,2024-01-19 17:13,2024-01-19,1,17,Aventura,Sedan,errand,11.3,45.46,5,1
T00059,2024-03-30 02:56,2024-03-30,3,2,Coral Gables,Convertible,errand,1.9,55.84,5,1
T00060,2024-04-22 17:45,2024-04-22,4,17,Coconut Grove,Minivan,long_distance,3.1,40.48,5,0
T00061,2024-06-16 16:00,2024-06-16,6,16,Aventura,Sedan,errand,2.6,56.64,4,0
T00062,2024-01-27 04:16,2024-01-27,1,4,Brickell,Minivan,nightlife,10.4,27.85,4,1
T00063,2024-02-09 08:18,2024-02-09,2,8,Doral,SUV,airport,8.3,49.27,5,1
T00064,2024-02-22 21:40,2024-02-22,2,21,Coconut Grove,Sedan,long_distance,4.4,32.32,5,1
T00065,2024-01-14 02:40,2024-01-14,1,2,Midtown,Sedan,errand,12.1,21.82,4,1
T00066,2024-03-26 04:40,2024-03-26,3,4,Coconut Grove,Luxury,airport,4.2,38.18,5,1
T00067,2024-05-21 22:27,2024-05-21,5,22,Aventura,Sedan,nightlife,2.0,32.11,5,1
T00068,2024-06-25 04:34,2024-06-25,6,4,South Beach,SUV,errand,10.4,38.16,4,1
T00069,2024-02-07 13:08,2024-02-07,2,13,South Beach,SUV,errand,12.6,46.25,4,1
T00070,2024-01-11 11:13,2024-01-11,1,11,Coral Gables,Sedan,wedding,6.0,33.66,4,1
T00071,2024-05-23 13:39,2024-05-23,5,13,Wynwood,Convertible,airport,2.5,40.93,5,1
T00072,2024-02-15 13:01,2024-02-15,2,13,Wynwood,Luxury,wedding,5.9,32.64,4,1
T00073,2024-04-15 21:55,2024-04-15,4,21,Coral Gables,Sedan,errand,3.3,20.07,4,1
T00074,2024-06-28 03:24,2024-06-28,6,3,South Beach,Sedan,event,10.1,38.46,5,1
T00075,2024-04-27 11:19,2024-04-27,4,11,Coral Gables,Sedan,airport,2.1,44.75,4,1
T00076,2024-02-19 12:21,2024-02-19,2,12,Coconut Grove,Sedan,nightlife,8.8,42.23,5,0
T00077,2024-03-12 11:41,2024-03-12,3,11,Aventura,Sedan,event,1.6,54.97,5,1
T00078,2024-05-17 10:01,2024-05-17,5,10,Brickell,SUV,errand,4.5,52.16,5,1
T00079,2024-03-08 01:06,2024-03-08,3,1,Doral,Minivan,event,25.0,21.56,4,1
T00080,2024-03-21 13:38,2024-03-21,3,13,Aventura,SUV,nightlife,11.2,43.32,4,1
T00081,2024-05-27 06:16,2024-05-27,5,6,South Beach,Sedan,wedding,8.5,60.34,4,1
T00082,2024-05-13 17:43,2024-05-13,5,17,Coral Gables,Convertible,errand,5.6,20.52,4,1
