distance_km,fare_usd,speed_kmh,duration_min,hour,is_night,driver_rating,customer_rating,trip_count_today,new_device,new_payment_method,location_jump_km,surge_multiplier,promo_applied,cancellations_today,fare_distance_ratio,is_fraud,fraud_type,trip_id
15.25,30.74,52.6,17.4,18,0,4.19,4.27,1,0,0,0.93,1.0,1,2,2.02,0,none,FR00000
1.72,14.22,22.5,4.6,6,0,3.96,4.58,7,0,0,0.0,1.0,0,0,8.27,0,none,FR00001
19.04,36.37,45.5,25.1,2,1,4.48,4.54,4,0,0,0.79,1.2,0,2,1.91,0,none,FR00002
6.76,24.05,32.7,12.4,15,0,4.39,4.45,8,0,0,0.0,1.2,1,2,3.56,0,none,FR00003
5.59,20.51,34.0,9.9,23,1,4.68,4.36,2,0,0,1.75,1.5,0,0,3.67,0,none,FR00004
4.0,26.47,40.4,5.9,15,0,4.31,4.23,2,0,0,0.0,1.0,0,1,6.62,0,none,FR00005
11.92,35.52,47.1,15.2,11,0,4.7,3.66,1,0,0,1.19,1.2,0,1,2.98,0,none,FR00006
34.96,68.37,35.0,59.9,5,1,3.5,4.64,1,0,0,0.0,1.0,0,0,1.96,0,none,FR00007
3.59,18.03,37.1,5.8,8,0,4.72,4.12,2,0,0,0.0,1.5,0,1,5.02,0,none,FR00008
5.42,25.76,37.2,8.7,4,1,4.67,4.16,6,0,0,1.21,1.0,0,2,4.75,0,none,FR00009
16.42,34.27,28.5,34.6,11,0,4.77,4.52,3,0,0,0.0,1.5,0,2,2.09,0,none,FR00010
4.76,19.56,41.2,6.9,12,0,3.93,4.47,2,0,0,1.33,1.5,0,1,4.11,0,none,FR00011
2.11,18.61,53.6,2.4,4,1,4.68,4.04,8,0,0,0.47,1.2,0,0,8.82,0,none,FR00012
10.02,30.57,32.0,18.8,20,0,4.83,3.96,6,0,0,0.99,1.0,0,2,3.05,0,none,FR00013
15.24,40.09,38.3,23.9,21,0,4.28,4.46,2,0,0,1.13,1.0,0,2,2.63,0,none,FR00014
19.63,46.08,44.6,26.4,4,1,4.7,4.61,8,0,0,2.39,2.0,0,0,2.35,0,none,FR00015
2.95,17.78,49.2,3.6,13,0,4.56,5.0,4,0,0,0.0,1.0,0,0,6.03,0,none,FR00016
7.81,29.27,40.0,11.7,4,1,4.34,5.0,8,0,0,0.98,1.2,0,2,3.75,0,none,FR00017
7.45,25.79,32.8,13.6,9,0,4.36,4.0,5,0,0,1.38,1.0,0,1,3.46,0,none,FR00018
3.55,15.76,50.9,4.2,16,0,4.49,4.09,7,0,1,0.6,1.5,0,1,4.44,0,none,FR00019
